	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
calprotectin	11304	24740	23470	18649	1013	1152	576	20763	37	70	20	796	85	17048	4387	70	57	83	31142	22163	14595	18038	1061	23552	662	0	0	0	0	278	0	391	0	522	0	0	0	330	200	278	17121	360	477	663	22623	18080	17976	58	20558	24702	21022	19999	15358	7181	16322	884	5948	22723	18416	16737	16858	20853	20546	484	25817	23411	23943	24609	24950	21879	20562	20767	22983	362	21695	24387	22216	20005	17235	23277	950	2389689	314869	2716992	1681517	202622	50	224085	2088509	296393	77121	241817	79391	52338
remission	yes	no	no	no	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	no	no	no	yes	no	NA	yes	yes	yes	yes	NA	yes	NA	yes	yes	yes	yes	NA	NA	NA	no	no	no	no	NA	no	no	no	no	NA	NA	yes	yes	yes	yes	NA	NA	no	no	no	NA	NA	NA	NA	yes	yes	yes	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	23.37205	0	0	0	0.75447	1.77232	0.11525	0.22971	0.5613	3.4032	2.62608	1.47722	1.2711	0.27856	0.41677	0.34511	2.3524	0.96658	0	0.7766	0.04315	1.46811	1.08313	3.38302	0.86637	0.85222	5.53765	1.36732	4.2911	2.22145	1.15223	1.25807	10.59278	3.01003	1.37899	9.35421	8.35055	0.90424	1.08793	1.43902	2.47761	0.46287	0.95056	0.47601	0	0	5.3986	0.79006	0	5.53346	0.41902	0.05157	0.13005	2.05583	1.49298	4.29944	0.04547	0	0	0	0	1.89404	13.48593	1.03975	0.08882	0.3074	0.28522	0.25077	1.38531	0	0	0	0	3.03296	0	0.06201	2.62507	1.15487	0.37642	4.28155	0.3133	0	0	0	2.29773	1.54105	0.81184	1.47616	3.95554	3.03013	6.89231	7.69445	0	1.10038
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	16.93814	0	0	0	4.93372	3.05768	4.84392	6.88762	7.12739	1.99859	12.60618	2.85725	23.10683	0.14766	0.11318	3.64813	3.68233	8.59632	0	0	0.01222	0	0	0	21.10461	3.9499	8.69276	1.77741	0	7.60744	0.7034	0.01866	2.64034	5.51662	0	4.07928	6.92167	1.53449	1.41633	2.98766	4.17856	8.0877	1.37528	0.89852	0	0	0	2.05191	0	0	4.48723	1.66542	0.6924	0.18	10.80573	5.29091	4.39252	0	0	0	0	0	6.48163	4.05247	7.69155	0.14671	0.06342	0.20004	2.04233	0.38881	0.41291	0.66568	4.87704	8.38231	30.07445	0.27563	0.40656	3.89736	0.56509	6.00829	12.73981	3.33117	0	0.49418	26.24955	1.12344	6.53591	5.0564	1.13204	0.02035	0.04084	4.53399	4.6555	21.99104
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	11.95675	0	0	0	19.6148	9.52675	7.57663	15.58398	3.89747	3.57492	6.47772	18.04321	3.03423	23.29182	9.95526	11.80707	2.10731	2.55789	0	0	6.19065	0	0	0	2.98693	3.04472	0	3.47212	0	3.32684	4.97677	6.12928	7.02928	14.04788	3.28644	0	5.98003	11.47864	7.42389	20.29767	9.95881	24.87407	2.68406	18.49252	0	0	0	4.11347	0	0	15.53846	24.23816	35.47043	18.44734	29.59057	2.77778	3.25192	0.00681	0	0	0	0	2.11983	6.35236	7.57252	5.30918	1.7605	3.15616	3.46484	0	0	0	0	5.03304	0	0	0	0	0	0	0	0	0	0	36.15506	5.01615	5.70669	2.36847	6.2702	14.59008	7.63995	7.96041	1.61965	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	10.68192	35.90419	0	0	0.1588	6.73009	0.60364	0	7.333	18.94036	4.08322	3.89284	2.01577	0	3.48952	3.57026	3.40494	0.34601	0	0	0	0	0	0	2.40692	2.21678	3.77488	7.33731	12.95747	0	1.44941	0	6.15692	3.43493	3.54271	7.0559	1.46678	4.61385	1.00198	2.94333	0	1.51836	5.77825	14.55697	0	0	0	3.37463	0	0	0.37964	0	0	0	0	20.99853	0.95236	2.00592	0	0	0	0	24.37895	5.86151	0.77818	23.64472	15.34935	6.42559	2.21191	0	0	0	0	0.77787	0	1.09955	4.32545	7.10877	4.43515	1.84283	1.64807	0	0	0	0.03287	3.64523	0.28151	0.49769	2.85048	9.21189	19.94042	4.30062	1.91951	1.32426
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	10.31375	0	0	0	0.18319	0	0	0	0	13.65868	0.2026	0	0.15681	0	0	0	2.80243	0	0	0	0	0	0	0	10.91916	0	0	0	0	0	0	0	0	0	0	0.1171	0	0.29299	0	0	0	0	9.08829	0	0	0	0	1.87452	0	0	0	0	0	0	0	0.03276	0.56588	0	0	0	0	0	2.27878	0	0	0	0	0	0	0.00934	0.48234	0.44011	7.38775	0.20299	11.33188	1.56157	0.82831	20.22005	1.92124	8.72362	16.67765	0	0	0	0	0	0.14148	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	5.87558	0	0	0	0	0	12.72362	28.55436	0	0	13.67953	0.5019	0	19.68966	0	6.28958	1.20428	5.9038	0	0	21.7667	0	0	0	9.6663	0	0	0	0	3.4439	0	27.12281	0	0	0	0	1.8295	0.01681	0	0	24.18713	0.48589	0	9.08699	0	0	0	0	0	0	14.33265	31.28896	28.34896	21.56189	22.81749	0	2.92039	0	0	0	0	0	0	4.21743	0	0	0	0	0	39.03944	31.91219	31.90452	29.88759	2.46521	15.52345	0	0	0	0	0	0	0	0	0	0	5.58545	1.75828	0	9.70913	0.75301	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	3.97489	3.07355	0.74086	0	3.8636	6.47196	2.3326	1.95877	2.98957	4.5218	5.17283	6.88362	3.9508	1.06999	2.53555	2.84689	1.80396	1.5751	0.24384	9.47607	0	1.33046	3.39248	19.00645	5.86262	1.02883	5.08372	11.65194	0	4.18531	2.2159	0	5.35057	10.70681	10.18323	6.7136	4.03054	3.82084	2.81869	5.56962	0	7.85074	0	1.75062	0	0	0	0	0	0	0	0	0	0	1.02824	0	1.38982	4.37023	0	0	0	0	0	3.3321	10.89371	15.75176	9.27928	11.60049	8.66474	0	0	0	0	2.87931	0.02487	7.57822	13.6575	20.91753	18.50906	6.28147	1.59813	0	0	0	5.76317	4.44527	0	4.91261	4.47068	18.75922	12.06641	5.26777	0.37255	19.11494
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	3.77346	2.84972	0	0	0.27333	1.14628	0.37164	2.97651	1.42766	8.25453	5.11824	0.93243	8.03804	4.96031	0.25567	0.29083	2.97065	0.25633	0	3.40016	0	0.76768	3.70429	10.24726	5.95209	4.20094	5.1749	2.27514	7.93569	2.17235	2.89167	0	2.02726	5.60618	3.52055	1.97117	0.99243	5.14641	1.82476	1.83038	10.1252	1.65437	12.59363	1.05269	0	0	0	1.35104	0	0	0.85047	0.12222	0	0	3.49445	5.55821	0.22328	0.03085	0	0	0	0	8.9474	4.32372	0.68192	0.83338	0.55989	1.31058	1.72633	2.26397	19.58401	3.71625	0.4296	0.54077	3.2654	0.95452	1.12056	5.99797	30.03219	4.2244	3.7911	0	0	0	2.05978	1.63552	1.88778	1.48517	0.49635	2.51916	12.92336	1.56478	1.72616	2.35985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	2.23903	0.00559	0	0	0	1.11939	0	0.74302	0.72959	5.75948	0.18611	0.11628	0.1514	0.00468	0.09125	0.00373	0.16682	0.12347	0	0	0	0.06807	0.03727	2.00557	0.00553	0.09644	0.7687	0.42116	0.47229	0.55857	0	0	0.08497	0	0.48574	1.48501	2.1122	1.13077	0.28223	2.05842	0	0.22932	0	0	0	0	0	0	0	0	0	0	0	0	0.00386	0.30868	0	0	0	0	0	0	1.47739	0.58841	0	0.13805	0.35666	0.46372	0.11335	0.00293	0.0335	0.0592	0.05192	0.25915	0.00248	0.01668	0.07602	0.04226	0	1.07591	0.09516	0	0	0	0.30583	0.38418	0.7352	0.43909	0	0.29101	0.0773	0.06079	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	1.75727	13.14022	0.13398	0.16311	0.11906	0.01141	0	0.87861	0	0.22963	0.05168	0	0.23861	3.14011	0.04339	0	0.02386	0	1.40763	53.06123	1.71974	10.969	5.00485	8.97927	0.04432	0	0.3119	0	1.01487	0.10039	0	1.27613	0	0	0.09994	0.05806	0	0	0	0.14599	1.29999	0.0043	0.79493	0	0	0	0	1.3146	0	0	1.27875	1.76541	1.57901	0.77885	0.84433	1.06516	0.0208	8.10614	0.8389	1.53111	1.47733	2.34854	0.44238	0.43278	1.52426	2.29858	1.61823	3.01542	0.24383	2.97821	2.25354	1.2229	2.23915	0.13881	3.69537	2.82574	9.54101	5.94131	1.94133	1.82245	0.01886	0	0	0	1.70215	0.25078	0.04675	0.00224	0.21667	3.72316	1.3753	0.06865	0	0.0589
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	1.40453	0	0	0	1.83614	2.41721	0.56104	10.23442	0.41655	1.53505	0.93896	0.61984	0.3755	0.2251	0.8033	0.78727	1.55212	0.11086	0	0.33557	0	0.2952	0.67358	8.55386	0.42937	0.58644	0.22941	0.90958	0	0.15639	1.05358	0	1.2232	2.45554	1.13104	1.25418	6.29483	0.86985	0.1893	2.53896	1.75937	0.8351	0	1.63772	0	0	0	0	0	0	0.04006	0	0	0	0	0	0.72723	10.23361	0	0	0	0	0	1.03686	0.07127	0	0	0	0.61501	0	0	0	0	0.50455	0	0.21257	0.11414	6.77971	1.4739	0.90051	2.73414	0	0	0	0	3.68399	0.63152	0.74694	0.21147	0.03303	0.04338	0.18408	0.15161	1.67533
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	1.05195	1.93083	0.15754	0.00853	0.02376	0	0	1.52388	0.22315	0.01354	0.08853	0	0.11396	15.6733	0	0.24877	0	0.02465	4.10057	3.45882	2.04459	23.81536	45.84273	14.69836	0	0	0.03617	0	1.06348	0.17431	0	1.06529	0	0	0	0	0	0	0	0	0.50818	0	2.30807	0	33.15704	61.18488	21.52684	3.69095	58.55267	21.87437	0.17534	21.27707	14.92788	20.23319	5.00496	1.98679	3.07692	7.5875	5.81366	38.9646	18.37777	14.63391	0.50169	0.04674	0	0.04458	0	0.0676	0.20599	14.89939	9.23288	8.43255	24.22155	0	1.49933	1.85952	21.96389	9.70384	1.6927	0.76409	0.00138	0.36267	0	0.10053	0.639	0.02181	0.02669	6.6935	0	0.64384	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0.9164	0.2065	0	0	0.30167	0.03086	0.04422	0	0	1.37036	0.33317	0.03024	0.59623	0	0.93098	0	0.26319	0	0	0	0	1.674	0.29108	10.24573	0.05951	1.51458	1.32157	0.6463	0	0.11554	0.04729	0	0.64062	0.32092	0.09658	0.01413	0.00599	0.5748	0.17072	1.09099	0	1.20143	0	0.13553	0	0	0	0.19487	0	0	0	0	0	0	0	5.22341	0	0.33007	0	0	0	0	4.44724	0.38309	0	0.09147	0.07461	0.01813	0.26782	0	0	0	0	0.19357	0	0.34805	2.59009	0.70466	0	0.51399	0.04351	0	0	0	0	0.75896	0.07401	0.34962	0.12491	1.4771	0.78496	0.11094	0	0.31811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.90865	3.3469	6.32922	0.01126	0.64082	1.28015	0.14011	0.30943	0.09846	1.22384	0.88052	0.8669	0.35037	0.02676	0.95483	0.1095	0.83035	0.04288	0.06815	0	3.62756	0.12709	0.00868	0.182	0.49893	0.82948	0.85793	0.43218	5.15644	0.29667	0.17972	3.75108	4.52233	1.7845	3.46746	0.69239	0.63225	0.80909	1.29657	1.05597	0	0.45507	0.03409	0.70547	0	0	11.4126	0.11183	0	12.84223	0.13902	0.19506	0	0.05738	7.12456	7.18028	0	0.72301	7.82109	0.68497	4.82603	5.59773	16.40337	0.35793	15.27211	8.4211	8.5277	12.32308	0.80378	12.9713	9.40409	32.6128	16.11902	0.35515	3.27785	0.0607	0.08863	0.28427	0.04263	0.37341	0.22783	0	0	0	9.72616	0.45325	0.18343	0.22315	0.30497	23.64761	24.12206	0.28609	0.031	0.30177
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	0.90513	0	0	0	0.46671	0.11145	0.02814	0	0.54318	1.22273	1.33623	0.12894	1.47372	0	0	0.19523	0.87204	0.29173	0	0.00643	0	0	0	0	0.6653	0.08362	0.55196	0	0	0.20039	0.16367	0	0.21613	0	0.45728	0.48136	0.11509	0.26711	0.05169	0.88849	0	0.17787	0.03213	0.18561	0	0	0	0.07867	0	0	0	0	0	0	0	0.97836	0.29034	0.11873	0	0	0	0.94418	0.78562	2.42555	0.26663	0.13683	0.33122	0.49602	0.17574	0.01328	0.01018	0.00878	0.03557	0.12401	0.16456	0	0	0	0	0	0.31796	0	0	0	0	0.57971	0.46077	0.58563	0.17251	0.10636	0.05246	0.21501	0	2.68624
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.69902	0	0	0	45.72491	5.87438	14.11451	3.4787	1.39025	0.65234	4.78938	10.79799	24.16353	0.60147	0.12072	11.7709	17.07818	9.05923	0	0	1.77441	0	0	0	7.93968	0	0	3.08888	11.40556	6.1379	43.79035	1.14967	6.37826	4.2191	34.97797	9.62483	15.81207	9.00028	7.1462	5.0476	10.13597	17.80499	0	7.97425	0	0	0	0	0	0	12.45828	0.51097	0	0.01718	1.04412	0	5.63666	0	0	0	0	0	0	7.05184	0	0	0	0	0	0	0	0	0	46.52301	0	0	0	0	0	0	0	0	0	0	0	0	31.55316	3.21905	10.31591	0	0	0	1.29949	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0.63529	1.52889	0.03502	0.02362	0.04425	0.62112	0.25953	0.73656	0.32556	0.11043	0.03088	0.47018	0.38421	0.43989	0.30868	0	0.14641	0	0	5.15825	0.71985	1.09453	0.48242	0.89022	0.56718	0.04509	0.14992	0	0.09167	0.07047	0.04221	0.26785	0.08102	0.1004	0.1243	1.03358	0	0.12574	0	0.73889	0.9606	0	0.07362	0.07955	0	0	0	0.15847	0	0	0.10607	0.18761	0.15731	0.07593	0.07781	0.58205	0.03519	1.10382	0.09692	0.21881	0.2124	1.07061	0.20736	0.95362	0.54772	0.47578	0.41446	0.73356	0.08792	0.47105	0.55352	0.29491	0.6261	0.058	1.54426	0.21689	0.89743	0.60496	0.18334	0.18398	0.54602	0	0	0	0.3307	0.1259	0.20308	0.12804	0.16864	0.41419	0.1928	0.03107	0	1.1277
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.63086	0	0	0	1.89287	1.48837	0	0.35973	0.28381	0.41481	0.16467	0.21683	0.81297	0.06149	0.00821	0.14495	0.2519	0.71031	0	0.08082	0.06007	0.04119	0.10849	0	0.70497	0.02686	0.00573	0.11407	0	0.15366	0.05577	0.05072	0.17976	0.36563	0.14952	0.02903	0.87225	0.0306	0.4754	0.14316	0.20068	0.29911	0.01078	0.49031	0	0	0.81431	0	0	1.04288	0.06154	0	0	0	0.08808	0.19159	0.21765	0	0	0	0	0.02217	0.56258	0.11451	0.74841	0.02434	0	0	0.05538	0.00379	0	0.00479	0.10424	0.58278	0.22536	0.05371	0	0	0	1.45802	0.08563	0.3444	0	0	1.89251	9.08954	0.37599	2.02273	12.34334	0.014	0.05939	0.56285	0	0.15314
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	0.33577	0	0	0	0	0	0	0	0.06114	0	0	0	0.00805	0	0	0.00968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16611	0	1.10581	0.77504	0	0	0.02655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08623	0.0621	0.08872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03663	0	0	0	0	0	0	0	0	0	0	0	0	0.01805	0.16434	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	0.3044	0.02659	0.35605	0.00973	0.02888	0.15222	0	0.25106	0.2935	0	0.07311	0.2505	0.07869	0.14541	0	1.14732	0.02149	0.10275	0	3.82941	0	0.21291	0.21887	0.19835	0.10674	0	0	0.3296	0	0	0.00985	0	1.10266	0.90717	0	0.07012	0.33035	0.0845	0	0.218	0.00294	0.17767	0.02776	0.1817	0	0.04222	0.09621	0	0	0.08235	0.26963	0.16197	0.03601	0.13529	0.12824	0.19886	0	0.05439	0	4.08758	3.37454	0	0.10487	0.14661	0	0	0	0	0	0	0	0	0	0.49795	0.03462	0.1926	0.19312	0	0	0.14525	0	0	0	0	0.22798	0	0.1803	0.16069	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.28835	0	0	0	0.20326	0.10661	0.03683	0	0.2382	0.86722	0.81851	0.05192	0.35808	0	0	0.05835	0.32846	0.22964	0	0	0	0	0	0	0.44656	0.0338	0.43968	0	0	0.11482	0.21585	0	0.06444	0	0.25118	0.88794	0.07446	0.19399	0.03487	0.56094	0	0.03528	0.02483	0.05603	0	0	0	0.04414	0	0	0	0	0	0	0	0.64213	0.48276	0.01508	0	0	0	0.20861	0.252	0.50411	0.02355	0.03737	0.08349	0.13254	0.05306	0.02566	0.07538	0.03765	0.12527	0.09797	0.57601	0	0	0	0	0	0.49794	0	0	0	0	0.45185	0.19537	0.58058	0.10498	0.04709	0.03189	0.12073	0	0.62941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.24506	0.06722	0	0	0.59275	7.72499	3.45292	1.05359	2.09308	7.07746	10.20309	0.04595	2.22931	0.00167	1.9488	1.3505	4.27619	6.11164	0.84357	0	0	0.07221	0.04435	0.05534	2.11076	2.07605	5.61458	14.7881	2.89113	4.03682	0.48352	0	0.25245	0.28362	1.59056	13.86608	6.75831	3.92442	2.11517	6.19684	5.77787	0.40257	0.01214	0	0	0	0	0	0	0	2.91527	0	0	0	0.48988	2.88415	0.0681	0.1015	1.2675	0	0	0.55439	6.61924	0.58827	0.74055	0.00491	0.13495	0.05234	9.74665	0.04672	0.16556	0.00425	0.27719	1.99314	0.42133	0.95164	0.3435	0	0	8.63602	0.31747	0	0	0	0	0.85934	3.1345	9.10543	2.77639	0	0	9.79179	0.12908	3.01384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0.19733	0	0	0	0.393	1.90557	2.6711	3.24903	8.05249	0	0.14905	0.89293	3.70116	0	17.80959	1.58223	6.10136	0.23896	0	0	0	0	0	0	2.31031	9.3705	16.07313	4.55021	12.03673	38.76242	0.20549	0.14141	0.15433	0.02526	11.77987	13.19566	1.22534	0.53485	3.66832	0.15122	7.13291	2.1982	0.00712	4.50359	0	0	0	0	0	0	0	0	0	0	1.78347	6.45171	0.01317	0	0	0	0	0	0.93005	14.87342	0	0	0	0	0.10601	0	0	0.01092	0.40599	5.08651	4.5838	0	0	0	0	0	6.31721	0	0	0	0.68981	9.95502	1.32163	5.28257	0	0	0	0.01289	1.66208	0.19385
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.14042	0	0	0	0.09883	0.24857	0	0.01171	0.09771	0.22104	0.00174	0.02806	0.21866	0.01412	0	0	0.01143	0.0207	0	0.06106	0	0.01999	0.01534	0	0.26965	0	0	0	0	0	0.07622	0	0.01731	0.06666	0.12022	0.01029	0.04314	0	0.0408	0.00478	0.02529	0.01688	0	0.38275	0	0.00217	0.53996	0	0	0.53749	0	0	0	0	0.01681	0.16083	0	0	0	0	0	0	0.24733	0.05335	0	0	0	0	0.03206	0	0.01033	0.18201	0.10747	0.00397	0.04594	0.09855	0	0	0	0.32588	0.05835	0.28569	0	0	0.38846	2.26909	0.02638	3.47477	3.65902	0	0	0.07287	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257	0.11354	0	0.00072	0.0242	0	0	0	0	0	0	0	0	0	1.07748	0	0	0	0	0	0	34.18411	0	0	0	0	0	0.0182	0	0.61865	0	0	43.25127	0	0	0	0	0	0	0	0	0	0	61.21716	0	0	0	0	79.40564	0	0	0	0.94755	4.15416	11.44363	1.8952	12.29383	0	0	0	0	0	0	0.12314	0	0	0	0	0	0	1.1737	2.83855	5.11891	0.87819	0	0.19391	0	0	0	0	0	0	0	0	0	0.45827	0	0.0169	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.08167	0	0	0	0	0.03213	0	0.00245	0.01513	0	0	0	0.05501	0	0	0	0	0	0	0.11742	0	0.01667	0.00504	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174	0	0	0	0	0	0.00922	0	0	0.0092	0	0.05805	0	0.04407	0	0	0	0.0299	0	0.07675	0	0	0	0	0	0	0.06154	0	0	0	0	0	0	0	0	0	0.0276	0	0.14086	0	0	0	0	0.05296	0	0	0	0	0	0.30935	0	0.04767	0.5339	0.18307	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	0.05289	0	0	0	0	0	0	0	0.11696	0	0	0	0.01459	0	0	0	0.07758	0.03214	0	0	0	0	0	0.03571	0	0	0	0	0	0.03963	0.30681	0	1.0655	2.19478	0	0.00787	0.15988	0	0.00729	0	0	0	0	0.12305	0	0	0	0	0	0	0.00609	0	0	0	0.08907	0.10995	0.02394	0	0	0	0	0	0	0.39115	0	0	0	0	0	0	0	0	0	0.01876	0.00065	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0.1474
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.04727	0	0	0	0.06059	0	0	0.15277	0.04784	0.71451	0.8681	0	1.49478	0	0	0	1.26351	0.05246	0	0	0	0	0	0.09889	0.82648	0.00991	0.63814	0.16586	0	0	0	0.67697	0	3.60816	1.31532	0	0.03536	0	0	0	0.10577	0.04392	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0.79139	0	0	0	0	0.91696	0	0	0	0	0	0	0	0	0	0.00776	0	0.00707	0.37435	0	0	0	0	0.6314	0.38363	0	0	0	0.6302	0.02141	0	0	0	0	0	0	1.28633	0.15525
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	0.04107	0	0	0	0	0.02078	0	0.0116	0.03729	0	0	0.00728	0.01954	0.01504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00669	0	0	0	0.02689	0	0.00871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02442	0.0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298	0	0	0	0.01428	0	0	0	0	0.01873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis	0.03185	0	0	0	0	0	0	4.75376	0	0	0	0	0.00206	5.96493	0	0	0	0	0	0	14.64821	0	0	0	0	0	0	0	0.0042	0	0	2.97472	0	0	0	0	0	0	0	0	3.31581	0	0.08986	0	0	0	0	0.20352	0	0	0	0	0	0	1.03885	0.80772	0	0	0.14236	0.35594	2.29557	0	0.26051	0.0561	0	0	0	0	0	2.10757	3.58767	0.27428	1.19116	0.02924	2.63514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
