	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	0	0	0	0	0.00976	0	0	0.01258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0	0	0	0	0.00708	0.00729	0.0056	0.00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01091	0.00934	0.00258	0.0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae	0	0	0	0	0.00667	0.01236	0.01417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0558	0.02566	0.03456	0.01578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00878	0.009	0.03251	0.01509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04351	0.00444	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0	0	0	0	0.00453	0.02032	0.01806	0.0215	0	0	0	0	0	0	0	0.00337	0	0	0	0	0.00614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01739	0.02823	0.02184	0.44301	0	0	0	0	0	0.00379	0.00143	0	0	0	0.01339	0.00453	0	0	0	0	0	0	0.00066	0	0	6e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01076	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01046	0.00773	0.00647	0.00183	0	0	0	0	0	0	0	0	0.00192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134	0.00857	0	0.00181	0.00553	0	0.00391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0	0	0	0	0.00219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	0	0	0	0	0.00093	0.00068	0.00396	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0	0	0	0	0	0	0.00194	0	0	0	0	0	0	0	0	0.00357	0	0	0	0	0	0	0	0	0.00516	0	0	0.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00569	7e-04	0	0	0	0	0	0	0	0	0.00569	0	0.0048	0	0	0	0	0	0	0.01653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158	0	0.00924	0.01068	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	0	0	0	0	0	0.0266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59	0	0	0	0	0	0.02419	0	0.04602	0	0	0	0	0	0	0	0	0	0	0	0	0.01924	0.01971	0	0	0	0	0.14651	0	0.03563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00555	0	0.00517	0.00455	0.01193	0	0	0.03723	0.06283	0	0	0	0	0	0	0.00596	0	0.00359	0.00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05414	0.01147	0	0	0	0	0	0	0	0	0.11145	0.08065	0.04631	0.03464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02995	0.04885	0.01095	0.00806	0.04554	0.03822	0.01042	0.00311	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048	0	0.00211	0	0	0	0	0	0	0.00842	0	0	0	0	0	0	0	0.00129	0.02938	0	0	0	0	0	0	0.02688	0	0	0.00977	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0	0	0	0	0	0.01928	0.01417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens	0	0	0	0	0	0.01385	0.04346	0.0525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588	0.00739	0.65228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714	0	0	0	0	0	0	0	0	0.05879	0.01348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14813	0.07938	0.32145	0.01867	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	0	0	0	0	0	0.00901	0.01463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_brachy	0	0	0	0	0	0.00776	0.01015	0.00368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae	0	0	0	0	0	0.00448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae	0	0	0	0	0	0.00381	0.02259	0	0.01423	0	0	0	0	0	0	0	0	0	0	0	0.00456	0	0	0	0	0	0	0.00298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236	0	0	0	0.00433	0.02329	0	0	0	0	0	0	0	0	0.00764	0.00939	0	0	0	0	0	0	0	0	0	0.05295	0	0.00896	0	0	0	0	0	0	0.00182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	0.02393	0	0	0	0	0	0	0	0.00311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374	0	0	0	0	0.00165	0	0	0	0	0	0	0	0	0	0	0	0.00324	0	0	0	0	0	0	0	0.00364	0.0507	0.00627	0.01747	0	0	0.00212	0	0	0	0	0	0.00349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158	0	0.04055	0	0	0	0	0	0	0	0	0	0.00721	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	0	0	0	0	0	0.00196	0.01874	0.04693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0.00142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	0	0.00513	0.00254	0.00395	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0.00519	0	0	0	0	0.04035	0.00164	0.01034	0	0	0	0.00568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294	0.00449	0.00199	0	0	0	0.00517	0.02174	0.01177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00723	0.01067	0.00685	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00546	0	0	0	0	0	0	0	0	0	0	0	0.00458	0	0	0	0	0	0.00105	0	0	0	0	0	0	0.00134
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	0	0	0	0	0	0.00143	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	0	0	0.00087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209	0	0	0	0	0	0	0.00129	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0.08501	0	0.00458	0	0	0	0	0	0	0.0035	0	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202	0.00266	0.00132	0	0	0	0	0	0	0	0	0	0.00207	0.00261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322	0.00691	0.00753	0.04457	0	0	0	0	0	0	0	0	0	0.00487	0	0	0	0	0	0	0	0	0	0.08582
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Eggerthia|s__Eggerthia_catenaformis	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	0	0	0	0	0	0	0.40987	0.42423	0	0	0	0	0.0094	0.02269	0.00673	0.01411	0	0	0	0	0	0	0.1286	0.35821	0.45329	0.73598	0.91284	0.08517	0	0	0	0	0	0	0	0	0.01045	0	0	0	0	0	0	0.08722	0	0	0	0	0	0	0	0	0.00221	0.15539	0	0	0.02851	0.0103	0.00417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00855	0	0.00254	0	0	0.00292	0.00308	0	0	0	0	0	0	0	0	0	0	0	0	0.0361	0.46992	0.20549	0.02035	0	0	0	0	0.05418	0.00126	0	0	0.02701	0.05088	0	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0.15166	0.02073	0.0434	0.02818	0	0	0	0	0	0	0	0.01069	0	0	0	0.02647	0	0	0	0	0	0.04435	0.01961	0	0	0	0	0	0	0.00461	0	0	0	0.00144	0	0	0	0	0.01245	0.00063	0	0.10069	0	0	0	0	0	0.03657	0	0.5337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05023	0.13492	0.095	0.00801	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04065	0.00671	0.00281	0.01946	0.07489	0.06997	0.09844	0	0	0	0	0	0	0	0	0.23285	0	0	0.05127	0.00939	0.00354	0	0	0	0	0.0213	0	0	0	0	0	0	0	0.03669	0.01567	0	0.00848	0	0.01507	0.00467	0.15146	0.08772	0.07943	0.07378	0	0	0.06517	0	0	0.00252	0.01841	0	0	0.00234	0.01357	0	0	0	0	0	0	0	0	0.00105	0	0	0	0	0	0.00298	0.08282	0.0177	0	0	0	0	0	0.08804	0.01144	0.08865	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0.01781	0	0.12364	0.0207	0	0	0.09744	0.01202	0.05749	0.02376	0	0.02988	0.0041	0.02135	0	0	0	0.00599	0.13258	0.1712	0	0	0	0	0	0.02312	0.17912	0.01834	0.00047	0	0.00374	0.00378	0.00405	0	0.00315	0	0.00508	0.10124	0	0	0	0.00843	0	0	0	0	0.10776	0.31338	0	0.0117	0.01854	0	0.01984	0.07225	0.0903	0	0.10133	0	0.01454	0	0	0	0	0	0.00533	0	0	0	0	0	0.00604	0	0.01028	0	0.03482	0	0	0	0	0.00066	0	0	0	0.01921	0.28812	0.42808	0.01162	0.00517	0.03963	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0	0	0	0	0	0	0.00238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_multacida	0	0	0	0	0	0	0	0.05765	9.85333	3.08533	12.92183	6.87742	0	0	0	0	0	0	0	0	0	0.00078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21618	0.00437	0.12389	0	2.23004	1.68292	0	0	0	0	0.00968	0	0	0	0	0	0	0	0	0.14394	0	0	0	0	1.47645	0.30638	0.60901	0.14252	0	0	0	0	0	0	0	0
